Company,TypeName,Inches,Ram,OpSys,Weight,Res_Width,Res_Height,Touchscreen,PanelType,SSD(GB),HDD(GB),ClockSpeed(GHz),CPU,GPU,Price
Lenovo,Notebook,14.0,4,Windows 10,1.44,1366,768,False,Unknown,64,0,1.1,Intel Other,Intel HD Graphics,249.0
Acer,Notebook,15.6,4,Linux,2.1,1366,768,False,Unknown,0,1000,2.7,Intel Core i3,Intel HD Graphics,367.0
Dell,Notebook,17.3,8,Windows 10,2.8,1920,1080,False,IPS Panel,128,1000,1.6,Intel Core i5,AMD,979.0
HP,Notebook,15.6,4,Windows 10,1.86,1366,768,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,488.69
HP,Notebook,15.6,8,Windows 10,2.1,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Nvidia GeForce,879.0
Asus,Notebook,15.6,4,Linux,2.0,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,389.0
Dell,Gaming,15.6,16,Windows 10,2.65,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,1499.0
Asus,Notebook,15.6,8,Linux,2.3,1366,768,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GeForce,522.99
Acer,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,682.0
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,1920,1080,True,Unknown,0,1000,1.6,Intel Core i5,Nvidia GeForce,999.0
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,256,0,2.0,Intel Core i5,Intel Iris,1419.0
Lenovo,Notebook,15.6,4,No OS,2.2,1366,768,False,Unknown,128,0,2.0,Intel Core i3,Intel HD Graphics,369.0
Asus,Gaming,17.3,8,Windows 10,3.2,1920,1080,False,Unknown,256,1000,3.0,AMD,AMD,1299.0
Dell,Notebook,15.6,4,Windows 10,2.3,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,AMD,639.0
Asus,Notebook,17.3,4,Windows 10,2.8,1366,768,False,Unknown,0,1000,1.1,Intel Other,Nvidia GeForce,466.0
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,1920,1200,True,IPS Panel,64,0,1.44,Intel Other,Intel HD Graphics,319.0
Acer,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,Nvidia GeForce,841.0
HP,Notebook,15.6,4,Windows 10,1.86,1920,1080,False,Unknown,256,0,2.5,AMD,AMD,398.49
HP,Notebook,13.3,8,Windows 10,1.49,1920,1080,False,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1103.0
Acer,Notebook,15.6,4,Windows 10,2.4,1366,768,False,Unknown,0,1000,2.4,Intel Core i3,Intel HD Graphics,384.0
Dell,Notebook,15.6,8,Windows 10,2.13,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,AMD,767.8
HP,Notebook,15.6,4,Windows 10,1.91,1920,1080,False,Unknown,128,0,2.0,Intel Core i3,Intel HD Graphics,439.0
Asus,Notebook,15.6,4,Windows 10,2.0,1366,768,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,586.19
MSI,Gaming,17.3,16,Windows 10,2.43,1920,1080,False,Unknown,256,2000,2.8,Intel Core i7,Nvidia GTX,2449.0
Asus,Notebook,15.6,4,Linux,2.0,1920,1080,False,Unknown,256,0,2.0,Intel Core i3,Intel HD Graphics,415.0
Dell,Notebook,17.3,16,Windows 10,2.8,1920,1080,False,Unknown,256,2000,1.8,Intel Core i7,AMD,1299.0
Dell,Ultrabook,14.0,8,Windows 10,1.7,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,879.0
Lenovo,Notebook,14.0,8,No OS,1.7,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i3,Intel HD Graphics,599.0
Asus,Notebook,14.0,8,Windows 10,1.4,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,941.0
HP,Notebook,15.6,8,Windows 10,1.86,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,690.0
Asus,Ultrabook,15.6,16,Windows 10,1.8,1920,1080,False,Unknown,512,0,2.8,Intel Core i7,Nvidia GTX,1983.0
HP,Notebook,15.6,4,Windows 10,1.86,1366,768,False,Unknown,0,500,2.0,Intel Core i3,AMD,438.69
HP,Notebook,14.0,4,Windows 10,1.44,1366,768,False,Unknown,32,0,1.6,Intel Other,Intel HD Graphics,229.0
Lenovo,Notebook,15.6,4,Windows 10,1.9,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,549.0
Asus,Gaming,17.3,12,Linux,3.0,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,949.0
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,2256,1504,True,Unknown,128,0,2.5,Intel Core i5,Intel HD Graphics,1089.0
Dell,Ultrabook,13.3,8,Windows 10,1.4,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,AMD,955.0
Dell,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,AMD,870.0
MSI,Gaming,17.3,8,Windows 10,2.7,1920,1080,False,Unknown,128,1000,2.5,Intel Core i5,Nvidia GTX,1095.0
Acer,Notebook,14.0,8,Windows 10,2.1,1366,768,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,389.0
Asus,Gaming,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,949.0
Lenovo,Notebook,15.6,8,No OS,2.2,1920,1080,False,Unknown,0,2000,2.5,Intel Core i5,Intel HD Graphics,519.0
Dell,Notebook,15.6,8,Windows 10,2.02,1920,1080,False,Unknown,128,1000,1.8,Intel Core i7,Intel HD Graphics,855.0
Acer,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,0,1000,2.7,Intel Core i3,Nvidia GeForce,530.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,128,1000,1.6,Intel Core i5,Nvidia GeForce,977.0
Dell,Ultrabook,15.6,8,Windows 10,1.88,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,1096.16
Apple,Ultrabook,12.0,8,macOS,0.92,2304,1440,False,IPS Panel Retina Display,512,0,1.3,Intel Core i5,Intel HD Graphics,1510.0
HP,Notebook,14.0,8,Windows 10,1.63,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,860.0
Lenovo,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,128,0,2.5,AMD,AMD,399.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,1000,3.0,AMD,AMD,395.0
Dell,Gaming,15.6,16,Windows 10,2.65,1920,1080,False,IPS Panel,128,1000,2.8,Intel Core i7,Nvidia GTX,1349.0
HP,Ultrabook,15.6,8,Windows 10,1.83,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,Nvidia GTX,699.0
HP,Notebook,15.6,8,Windows 10,1.96,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,598.99
Asus,Gaming,15.6,16,Windows 10,2.2,1920,1080,False,IPS Panel,128,1000,2.8,Intel Core i7,Nvidia GTX,1449.0
Dell,Ultrabook,13.3,8,Windows 10,1.21,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,Intel HD Graphics,1649.0
Asus,Gaming,15.6,8,Windows 10,2.45,1920,1080,False,Unknown,0,1000,3.0,AMD,AMD,699.0
Acer,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,0,1000,1.8,Intel Core i7,Nvidia GeForce,689.0
HP,Notebook,13.3,16,Windows 10,1.49,1920,1080,False,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1197.0
Dell,Gaming,15.6,8,Windows 10,2.65,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Nvidia GTX,1195.0
Asus,Ultrabook,14.0,8,Windows 10,1.25,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Intel HD Graphics,1049.0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,1920,1080,True,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,847.0
Dell,Notebook,15.6,8,Linux,2.2,1920,1080,False,Unknown,0,1000,2.7,Intel Core i7,AMD,599.9
Dell,Notebook,15.6,4,Linux,2.2,1920,1080,False,Unknown,256,0,2.0,Intel Core i3,AMD,485.0
Asus,Notebook,15.6,6,Windows 10,2.0,1920,1080,False,Unknown,256,0,2.4,Intel Core i3,Nvidia GeForce,577.0
HP,Gaming,15.6,12,Windows 10,2.62,1920,1080,False,IPS Panel,128,1000,2.8,Intel Core i7,Nvidia GTX,1249.0
HP,Notebook,15.6,8,Windows 10,1.91,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,AMD,719.0
HP,Notebook,15.6,4,Windows 10,2.1,1920,1080,False,Unknown,0,500,1.5,AMD,AMD,349.0
Dell,Notebook,15.6,8,Linux,2.2,1920,1080,False,Unknown,0,1000,1.6,Intel Core i5,AMD,647.0
HP,Ultrabook,13.3,8,Windows 10,1.38,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Nvidia GeForce,1119.0
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,2256,1504,True,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,1340.0
HP,Notebook,14.0,6,Windows 10,1.58,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GeForce,659.0
Lenovo,Notebook,15.6,4,Windows 10,1.85,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,414.9
Asus,Ultrabook,14.0,8,Windows 10,1.3,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Nvidia GeForce,1193.0
MSI,Gaming,15.6,16,Windows 10,2.2,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1299.0
Lenovo,Notebook,14.0,8,Windows 10,1.58,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Intel HD Graphics,1480.0
Asus,Ultrabook,15.6,16,Windows 10,1.5,1920,1080,False,Unknown,256,1000,1.8,Intel Core i7,Nvidia GeForce,1262.0
Dell,Ultrabook,13.3,8,Windows 10,1.23,3200,1800,True,Unknown,256,0,2.4,Intel Core i7,Intel Iris,1379.0
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1920,1080,True,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,1399.0
HP,Notebook,14.0,4,Windows 10,1.63,1366,768,False,IPS Panel,0,500,1.6,Intel Core i5,Intel HD Graphics,722.0
Dell,Ultrabook,13.3,8,Windows 10,1.21,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,1629.0
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1920,1080,True,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,1398.99
HP,Notebook,14.0,8,Windows 10,1.63,1920,1080,False,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1084.0
Dell,Notebook,15.6,8,Windows 10,2.16,1920,1080,False,IPS Panel,256,1000,1.8,Intel Core i7,Nvidia GeForce,1130.33
Asus,Notebook,17.3,4,Windows 10,2.0,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,Nvidia GeForce,564.0
Asus,Notebook,15.6,8,Windows 10,1.7,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Nvidia GeForce,1118.0
Acer,Notebook,15.6,6,Windows 10,2.1,1920,1080,True,IPS Panel,0,1000,2.4,Intel Core i3,Intel HD Graphics,479.0
MSI,Gaming,15.6,16,Windows 10,1.8,1920,1080,False,Unknown,256,2000,2.8,Intel Core i7,Nvidia GTX,2241.5
Lenovo,Notebook,15.6,8,No OS,2.2,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Nvidia GeForce,629.0
HP,Notebook,17.3,16,Windows 10,2.5,1920,1080,False,Unknown,512,0,1.8,Intel Core i7,Nvidia GeForce,1271.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,256,0,3.0,AMD,AMD,451.0
HP,Notebook,15.6,4,No OS,1.86,1366,768,False,Unknown,0,500,1.6,Intel Other,Intel HD Graphics,259.0
HP,Notebook,14.0,8,Windows 10,1.63,1920,1080,False,Unknown,0,1000,1.6,Intel Core i5,Intel HD Graphics,812.0
Asus,Notebook,14.0,4,Windows 10 S,1.65,1366,768,False,Unknown,64,0,1.5,AMD,AMD,277.99
Dell,Notebook,17.3,16,Windows 10,2.8,1920,1080,False,Unknown,256,2000,1.8,Intel Core i7,AMD,1396.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,928.0
Dell,Notebook,15.6,8,Windows 10,2.36,1366,768,False,Unknown,0,1000,2.5,Intel Core i5,AMD,638.99
Dell,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,AMD,449.0
Acer,Ultrabook,14.0,8,Windows 10,1.6,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,Intel HD Graphics,884.0
Acer,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,256,0,2.7,Intel Core i3,Nvidia GeForce,572.0
HP,Notebook,15.6,8,Windows 10,2.05,1366,768,False,Unknown,0,1000,2.7,Intel Core i7,Intel HD Graphics,598.0
HP,Notebook,14.0,8,Windows 10,1.63,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,988.0
Lenovo,Notebook,15.6,4,No OS,1.9,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,252.36
Asus,Gaming,17.3,8,Windows 10,3.0,1920,1080,False,Unknown,128,1000,2.5,Intel Core i5,Nvidia GTX,938.0
Lenovo,Notebook,15.6,4,No OS,2.2,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GeForce,499.0
HP,Notebook,13.3,4,Windows 10,1.32,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,699.0
Acer,Notebook,17.3,4,Windows 10,3.0,1920,1080,False,IPS Panel,0,1000,2.7,Intel Core i3,Nvidia GeForce,655.0
Lenovo,Notebook,14.0,8,Windows 10,1.75,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,AMD,1116.02
Lenovo,Gaming,15.6,8,No OS,2.4,1920,1080,False,IPS Panel,256,0,2.8,Intel Core i7,Nvidia GTX,869.0
Toshiba,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,500,2.3,Intel Core i5,Intel HD Graphics,602.0
HP,Notebook,15.6,4,Windows 10,1.86,1366,768,False,Unknown,256,0,2.5,AMD,AMD,369.0
Asus,Ultrabook,14.0,8,Windows 10,1.25,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,1099.0
HP,Ultrabook,12.5,8,Windows 10,0.97,3840,2160,True,IPS Panel,512,0,1.2,Intel Other,Intel HD Graphics,2014.0
Asus,Notebook,15.6,4,Windows 10,2.0,1920,1080,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,344.0
MSI,Gaming,17.3,16,Windows 10,2.9,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,2029.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,447.0
Dell,Gaming,15.6,16,Windows 10,2.56,1920,1080,False,Unknown,512,0,2.8,Intel Core i7,Nvidia GTX,1249.26
Dell,Gaming,15.6,8,Windows 10,2.62,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,899.0
Lenovo,Notebook,15.6,4,Windows 10,1.9,1366,768,False,Unknown,128,0,2.5,Intel Core i5,Intel HD Graphics,498.0
MSI,Gaming,17.3,16,Windows 10,2.8,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1890.0
HP,Ultrabook,14.0,4,Windows 10,1.48,1920,1080,False,Unknown,256,0,2.7,Intel Core i5,Intel HD Graphics,1082.0
HP,Notebook,15.6,6,Windows 10,1.91,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,AMD,619.0
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,1920,1080,True,IPS Panel,256,0,2.4,Intel Core i3,Intel HD Graphics,629.0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1920,1080,True,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,1315.0
Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1920,1080,True,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,1049.0
Toshiba,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,500,2.2,Intel Core i3,Intel HD Graphics,447.0
Asus,Notebook,15.6,4,Windows 10,2.03,1366,768,False,Unknown,0,1000,3.0,AMD,AMD,403.0
Acer,Notebook,17.3,4,Windows 10,3.0,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Nvidia GeForce,805.0
Dell,Notebook,15.6,8,Windows 10,2.13,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,AMD,728.0
Lenovo,Gaming,15.6,16,Windows 10,2.5,1920,1080,False,IPS Panel,256,0,2.8,Intel Core i7,Nvidia GTX,1079.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,348.0
MSI,Gaming,15.6,16,Windows 10,2.4,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,1799.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,363.51
Dell,Gaming,15.6,8,Windows 10,2.56,1920,1080,False,Unknown,128,1000,2.8,Intel Core i7,Nvidia GTX,1060.49
Acer,Notebook,17.3,8,Windows 10,3.0,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Nvidia GeForce,854.0
HP,Notebook,13.3,4,Windows 10,1.49,1920,1080,False,IPS Panel,0,500,1.6,Intel Core i5,Intel HD Graphics,754.0
Huawei,Ultrabook,13.0,8,Windows 10,1.05,2160,1440,False,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,1349.0
HP,Notebook,17.3,6,Windows 10,2.71,1920,1080,False,IPS Panel,0,2000,2.5,Intel Core i5,AMD,699.0
Lenovo,Notebook,15.6,4,No OS,2.2,1366,768,False,Unknown,0,500,2.9,AMD,AMD,309.0
Toshiba,Notebook,15.6,4,Windows 10,2.0,1366,768,False,Unknown,0,500,2.4,Intel Core i3,Intel HD Graphics,489.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Nvidia GeForce,923.0
Dell,Notebook,15.6,8,Windows 10,2.3,1366,768,False,Unknown,0,1000,2.4,Intel Core i3,Intel HD Graphics,459.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,128,0,2.0,Intel Core i3,Intel HD Graphics,449.0
MSI,Gaming,18.4,32,Windows 10,4.4,1920,1080,False,Unknown,512,1000,2.9,Intel Core i7,Nvidia GTX,2799.0
Lenovo,Notebook,15.6,8,Windows 10,1.9,1920,1080,False,Unknown,128,1000,2.5,Intel Core i5,AMD,813.0
HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,3840,2160,True,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,1499.0
Dell,Notebook,15.6,16,Linux,2.02,1920,1080,False,Unknown,256,2000,1.8,Intel Core i7,AMD,1049.0
Dell,Ultrabook,13.3,8,Windows 10,1.23,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,1399.0
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,3840,2160,True,IPS Panel,512,0,1.8,Intel Core i7,Intel HD Graphics,1849.0
Toshiba,Notebook,15.6,8,Windows 10,2.0,1366,768,False,Unknown,128,0,2.5,Intel Core i5,Intel HD Graphics,793.0
Xiaomi,Notebook,15.6,8,No OS,1.95,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Nvidia GeForce,1199.0
Dell,Notebook,17.3,16,Windows 10,2.77,1920,1080,True,Unknown,512,0,1.8,Intel Core i7,Nvidia GeForce,1549.0
Dell,Notebook,15.6,16,Windows 10,2.06,3840,2160,True,Unknown,512,0,2.8,Intel Core i7,Nvidia GTX,2397.0
Lenovo,Gaming,15.6,8,No OS,2.4,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GTX,779.0
Acer,Ultrabook,13.3,8,Windows 10,1.12,1920,1080,False,IPS Panel,256,0,1.2,Intel Core i5,Intel HD Graphics,989.0
Dell,Notebook,17.3,8,Windows 10,2.8,1920,1080,False,Unknown,128,1000,1.8,Intel Core i7,AMD,1085.0
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2560,1440,True,Unknown,1000,0,2.7,Intel Core i7,Intel HD Graphics,2824.0
Vero,Notebook,14.0,4,Windows 10,1.3,1920,1080,False,IPS Panel,32,0,1.1,Intel Other,Intel HD Graphics,260.0
Xiaomi,Ultrabook,13.3,8,No OS,1.3,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GeForce,999.9
Lenovo,Notebook,17.3,8,No OS,2.8,1600,900,False,Unknown,256,0,1.6,Intel Core i5,Nvidia GeForce,698.0
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,1920,1080,True,IPS Panel,0,1000,1.8,Intel Core i7,Intel HD Graphics,839.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,IPS Panel,0,1000,1.6,Intel Core i5,Nvidia GeForce,914.0
Razer,Gaming,17.3,32,Windows 10,3.49,3840,2160,True,Unknown,1000,0,2.9,Intel Core i7,Nvidia GTX,6099.0
HP,Notebook,13.3,8,Windows 10,1.49,1920,1080,False,Unknown,512,0,1.6,Intel Core i5,Intel HD Graphics,959.0
HP,Gaming,17.3,16,Windows 10,3.35,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,1379.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Nvidia GeForce,1045.0
Dell,Gaming,15.6,16,Windows 10,2.65,3840,2160,False,IPS Panel,512,1000,2.8,Intel Core i7,Nvidia GTX,1845.0
Lenovo,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,128,0,2.3,Intel Core i5,Intel HD Graphics,493.0
Acer,Notebook,15.6,8,Windows 10,2.23,1920,1080,False,Unknown,0,1000,2.7,Intel Core i7,Nvidia GeForce,742.0
